Headword,Tag,Ending,Count,Percent
willen,v%pt_2_pron,other,2,100.00%
letten,v%inf,-te,9,90.00%
letten,v%inf,-en,1,10.00%
letten,v%pt_3,-te,5,71.43%
letten,v%pt_3,-ed,2,28.57%
letten,v%ppl,-et,4,100.00%
letten,v%imp,-eth,1,100.00%
letten,v%pr_2,-t,1,50.00%
letten,v%pr_2,-te,1,50.00%
letten,v%pr_3,-te,1,25.00%
letten,v%pr_3,-eth,1,25.00%
letten,v%pr_3,-et,2,50.00%
letten,v%pt_pl,-te,1,100.00%
sitten,v%pr_3,-t,24,77.42%
sitten,v%pr_3,-eth,6,19.35%
sitten,v%pr_3,-te,1,3.23%
sitten,v%pt_3,-t,28,87.50%
sitten,v%pt_3,-te,2,6.25%
sitten,v%pt_3,-et,2,6.25%
