Source_File,Headword,Tag,Ending,Count,Percent
TC4_gui_complete.csv,felen,v%pt_3,-te,2,100.00%
TC4_gui_complete.csv,yelden,v%inf,-en,1,100.00%
TC4_gui_complete.csv,trouen,v%ppl,-ed,1,100.00%
TC4_gui_complete.csv,trouen,v%pr_3,-eth,1,100.00%
TC4_gui_complete.csv,trouen,v%pr_1,-e,2,100.00%
TC4_gui_complete.csv,trouen,v%pr_pl,-e,2,100.00%
TC4_gui_complete.csv,trouen,v%imp,-e,1,100.00%
TC4_gui_complete.csv,wenen,v%ppl,-d,1,100.00%
TC4_gui_complete.csv,wenen,v%pt_pl,-en,1,100.00%
TC4_gui_complete.csv,wenen,v%inf,-e,1,100.00%
TC4_gui_complete.csv,trusten,v%imp,-t,1,25.00%
TC4_gui_complete.csv,trusten,v%imp,-eth,3,75.00%
TC4_gui_complete.csv,sorwen,v%inf,-en,2,100.00%
TC4_gui_complete.csv,sorwen,v%pr_2,-est,2,100.00%
TC4_gui_complete.csv,sorwen,v%ppl,-ed,1,100.00%
TC4_gui_complete.csv,ouen,v%pr_3,-te,1,100.00%
TC4_gui_complete.csv,ouen,v%pt_3,-te,2,100.00%
TC4_gui_complete.csv,ouen,v%pt_1,-t,1,100.00%
TC4_gui_complete.csv,weilen,v%inf,-en,1,100.00%
TC4_gui_complete.csv,abreggen,v%inf,-e,1,100.00%
TC4_gui_complete.csv,recchen,v%pt_3,-te,1,100.00%
TC4_gui_complete.csv,recchen,v%pr_1,-e,1,100.00%
TC4_gui_complete.csv,taken,v%pt_3,other,1,100.00%
TC4_gui_complete.csv,taken,v%imp,other,3,75.00%
TC4_gui_complete.csv,taken,v%imp,-eth,1,25.00%
TC4_gui_complete.csv,preien,v%pr_1,other,2,100.00%
TC4_gui_complete.csv,holden,v%imp,-d,3,100.00%
TC4_gui_complete.csv,holden,v%inf,-de,1,100.00%
TC4_gui_complete.csv,holden,v%pt_3,-d,1,100.00%
TC4_gui_complete.csv,bidden,v%pr_2,-est,1,100.00%
TC4_gui_complete.csv,bidden,v%pt_3,-d,1,100.00%
TC4_gui_complete.csv,bidden,v%imp,-d,1,100.00%
TC4_gui_complete.csv,pleien,v%inf,-en,1,50.00%
TC4_gui_complete.csv,pleien,v%inf,-e,1,50.00%
TC4_gui_complete.csv,reven,v%inf,-e,1,100.00%
TC4_gui_complete.csv,gon,v%inf,vowel,4,66.67%
TC4_gui_complete.csv,gon,v%inf,-n,2,33.33%
TC4_gui_complete.csv,gon,v%imp,vowel,3,100.00%
TC4_gui_complete.csv,gon,v%pr_1,vowel,1,100.00%
TC4_gui_complete.csv,gon,v%pr_3,other,1,100.00%
TC4_gui_complete.csv,gon,v%pr_pl,-n,1,50.00%
TC4_gui_complete.csv,gon,v%pr_pl,vowel,1,50.00%
TC4_gui_complete.csv,twinnen,v%ppl,-ed,2,100.00%
TC4_gui_complete.csv,gabben,v%pr_2_pron,other,1,100.00%
TC4_gui_complete.csv,hiden,v%ppl,-d,1,100.00%
TC4_gui_complete.csv,clepen,v%ppl_abs,-ed,1,100.00%
TC4_gui_complete.csv,clepen,v%ppl,-ed,1,100.00%
TC4_gui_complete.csv,enden,v%pr_3,-eth,2,66.67%
TC4_gui_complete.csv,enden,v%pr_3,other,1,33.33%
TC4_gui_complete.csv,deliveren,v%imp,-e,1,100.00%
TC4_gui_complete.csv,listen,v%pr_3,-t,5,71.43%
TC4_gui_complete.csv,listen,v%pr_3,-te,2,28.57%
TC4_gui_complete.csv,ravishen,v%imp,-e,1,100.00%
TC4_gui_complete.csv,ravishen,v%inf,-en,1,100.00%
TC4_gui_complete.csv,loven,v%pr_3,-eth,2,66.67%
TC4_gui_complete.csv,loven,v%pr_3,-e,1,33.33%
TC4_gui_complete.csv,loven,v%pr_pl,-e,1,100.00%
TC4_gui_complete.csv,loven,v%pr_1,-e,3,100.00%
TC4_gui_complete.csv,kithen,v%imp,other,2,100.00%
TC4_gui_complete.csv,devisen,v%pr_2,-est,1,100.00%
TC4_gui_complete.csv,devisen,v%inf,-en,1,100.00%
TC4_gui_complete.csv,sufferen,v%ppl,-ed,1,100.00%
TC4_gui_complete.csv,sufferen,v%imp,-eth,1,100.00%
TC4_gui_complete.csv,wepen,v%prp_abs,other,1,100.00%
TC4_gui_complete.csv,wepen,v%inf,-en,3,100.00%
TC4_gui_complete.csv,wepen,v%pt_3,other,1,100.00%
TC4_gui_complete.csv,crien,v%ppl,-d,1,100.00%
TC4_gui_complete.csv,divinen,v%imp,-e,1,100.00%
TC4_gui_complete.csv,sterven,v%inf,-e,1,100.00%
TC4_gui_complete.csv,sterven,v%pt_3,other,1,100.00%
TC4_gui_complete.csv,withholden,v%inf,-en,1,100.00%
TC4_gui_complete.csv,weiven,v1&%pr_3,-eth,1,100.00%
TC4_gui_complete.csv,wilnen,v%pr_3,-eth,1,100.00%
TC4_gui_complete.csv,thurghgirden,v%ppl_abs,-t,1,100.00%
TC4_gui_complete.csv,washen,v%imp,other,1,100.00%
TC4_gui_complete.csv,wondren,v%inf,-en,1,100.00%
TC4_gui_complete.csv,speken,v%inf,-en,1,100.00%
TC4_gui_complete.csv,speken,v%pt_3,other,2,100.00%
TC4_gui_complete.csv,speken,v%pr_pl,-e,1,100.00%
TC4_gui_complete.csv,speken,v%pt_pl,-e,1,100.00%
TC4_gui_complete.csv,faren,v%imp,other,1,50.00%
TC4_gui_complete.csv,faren,v%imp,-eth,1,50.00%
TC4_gui_complete.csv,faren,v%inf,-en,1,100.00%
TC4_gui_complete.csv,faren,v%ppl,-d,1,100.00%
TC4_gui_complete.csv,reporten,v%pr_3,-eth,1,100.00%
TC4_gui_complete.csv,flen,v%ppl,-ed,1,100.00%
TC4_gui_complete.csv,isetten,v%ppl,-et,1,100.00%
TC4_gui_complete.csv,brennen,v%pr_3,-eth,1,100.00%
TC4_gui_complete.csv,hopen,v%pr_1,-e,1,100.00%
TC4_gui_complete.csv,fallen,v%ppl,-en,1,100.00%
TC4_gui_complete.csv,fallen,v%pt_3,other,1,100.00%
TC4_gui_complete.csv,fallen,v%inf,-en,1,100.00%
TC4_gui_complete.csv,fallen,v%pr_pl,-en,1,100.00%
TC4_gui_complete.csv,siken,v%pt_3,-ed,1,33.33%
TC4_gui_complete.csv,siken,v%pt_3,-te,2,66.67%
TC4_gui_complete.csv,esen,v%ppl,-ed,1,100.00%
TC4_gui_complete.csv,clauen,v%inf,-en,1,100.00%
TC4_gui_complete.csv,wringen,v%pt_3,other,1,100.00%
TC4_gui_complete.csv,infortunen,v#adj%ppl,-ed,1,100.00%
TC4_gui_complete.csv,departen,v%inf,-en,1,100.00%
TC4_gui_complete.csv,departen,v%pr_1,-te,1,100.00%
TC4_gui_complete.csv,causen,v%pr_3,-eth,1,100.00%
TC4_gui_complete.csv,causen,v%pr_pl,-en,1,100.00%
TC4_gui_complete.csv,forlosen,v#adj%ppl,-t,1,100.00%
TC4_gui_complete.csv,worthen,v%pr_3,other,1,100.00%
TC4_gui_complete.csv,hondlen,v%inf,-e,1,100.00%
TC4_gui_complete.csv,foryeten,v%imp,-te,1,100.00%
TC4_gui_complete.csv,ireden,v%ppl,-ed,1,100.00%
TC4_gui_complete.csv,descriven,v%inf,-en,1,100.00%
TC4_gui_complete.csv,senden,v%ppl,-t,2,100.00%
TC4_gui_complete.csv,accorden,v%ppl,-ed,2,100.00%
TC4_gui_complete.csv,finden,v%pt_3,-d,3,100.00%
TC4_gui_complete.csv,finden,v%ppl,-en,1,100.00%
TC4_gui_complete.csv,finden,v%inf,-de,1,50.00%
