headword,classification,notes,evidence,total_occurrences
railen,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:2),2
rakelen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
raken,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2),2
ransaken,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
rapen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
raven,unknown,"classified by morphological evidence on January 27, 2026",v%pr_pl(-e:4),4
rebounden,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
reclaimen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
recomforten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:3); v%pr_pl(-e:2),5
recommaunden,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4); v%pr_1(-e:4); v%pr_2(-e:2); v%pr_3(-eth:4),14
recommenden,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%pr_1(-e:2),4
recorden,unknown,"classified by morphological evidence on January 27, 2026","v%imp(-e:2); v%inf(-e:8); v%pr_1(-e:2); v%prp_abs(-e:4, other:2)",18
redressen,unknown,"classified by morphological evidence on January 27, 2026",v%imp(-e:2); v%inf(-e:14); v%pr_pl(-en:2); v%pt_3(-ed:2),20
referren,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%pr_3(-eth:2),4
refiguren,unknown,"classified by morphological evidence on January 27, 2026","v%prp_abs(-e:1, other:1)",2
refreiden,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:2, -en:2)",4
refusen,unknown,"classified by morphological evidence on January 27, 2026","v%imp(-eth:4, -e:2); v%pt_pl(-en:2)",8
rehersen,weak,"classified by morphological evidence on January 27, 2026","v%imp(-e:2); v%inf(-e:37, -en:17); v%ppl(-ed:2); v%pr_2(-e:2); v%prp_abs(-e:2)",62
